1---{59: 21}
lei---{59: 4}
lemak---{59: 1}
lending---{59: 2}
lenert---{59: 1}
lens---{58: 1, 59: 2}
leo---{59: 1}
leopold---{59: 1}
lessons---{59: 1}
level---{60: 1, 61: 1, 64: 1}
lf---{59: 1}
lhe11---{58: 1}
li---{59: 4}
liang---{59: 1}
lie---{58: 5}
life---{58: 2}
like---{60: 1, 61: 1, 64: 1}
limits---{59: 1}
lin---{58: 1, 59: 2}
lindberg---{59: 1}
linkedin---{58: 1}
linux---{58: 1}
list---{59: 1}
literacy---{59: 1}
literature---{58: 1, 59: 4}
liu---{58: 1, 59: 11}
liverpool---{59: 1}
lives---{58: 1}
ll---{59: 1}
loan---{59: 1}
localized---{59: 1}
located---{63: 1}
location---{59: 1}
logs---{59: 1}
london---{58: 1}
longhurst---{59: 1}
longitudinal---{58: 1, 59: 2}
longitudinality---{59: 1}
look---{60: 1, 61: 1, 64: 1}
looking---{59: 1, 60: 2, 61: 2, 64: 2}
loosely---{59: 1}
los---{59: 1}
loss---{59: 1, 62: 1}
lot---{60: 1, 61: 1, 64: 1}
lowery---{59: 1}
lu---{58: 1, 59: 1, 62: 1}
m---{58: 3, 59: 26}
ma---{58: 1, 59: 4}
machine---{58: 1}
magueramane---{59: 1}
mail---{63: 1}
mainly---{58: 1}
maintain---{58: 1}
make---{58: 3, 62: 2}
makes---{59: 1}
making---{59: 1}
malin---{59: 1}
mamykina---{59: 1}
manag---{59: 1}
manage---{58: 2}
management---{58: 3, 59: 8, 62: 1}
manager---{58: 2, 63: 1}
managing---{59: 1}
manion---{59: 1}
many---{59: 1, 62: 1}
mar---{59: 2}
mark---{59: 2}
markle---{59: 1}
marshall---{59: 1}
master---{58: 3}
matter---{58: 2, 60: 2, 61: 2, 64: 2}
mattison---{59: 2}
maximize---{58: 1, 62: 1}
may---{59: 14, 60: 4, 61: 4, 64: 4}
mayara---{58: 1, 59: 1, 62: 3}
mazmanian---{59: 1}
mc---{59: 2}
mcgregor---{59: 1}
mcostafi---{58: 1}
md---{59: 1}
me---{58: 1}
med---{59: 22}
media---{58: 2, 59: 9, 62: 2}
mediated---{59: 1}
medical---{58: 1, 59: 22}
medication---{59: 3}
medicine---{58: 2, 59: 1}
medinfo---{59: 5}
medline---{59: 2}
meet---{58: 1}
meeting---{59: 2}
meets---{59: 2}
mei---{59: 18}
melissa---{59: 1}
mellon---{58: 1}
members---{58: 1}
meng---{59: 2}
mental---{58: 1, 62: 1}
mentis---{59: 1}
messaging---{59: 1}
metamap---{59: 1}
methods---{58: 4, 59: 2, 62: 1}
mets---{59: 1}
mexico---{59: 3}
mg---{59: 1}
mhealth---{59: 1}
mi---{59: 4}
michelotti---{59: 1}
michigan---{58: 3, 59: 3}
microfinance---{59: 1}
migraine---{59: 1}
mihussai---{58: 1}
miller---{59: 1}
mind---{59: 1}
mingqian---{59: 1}
mining---{59: 2}
minnesota---{58: 1}
minor---{58: 2}
mirza---{59: 1}
mitchell---{59: 1}
mitigating---{59: 1}
mix---{58: 1}
mixed---{59: 1}
mm---{59: 2}
mobile---{58: 4, 59: 4, 62: 1}
model---{59: 1}
modeling---{59: 2}
models---{58: 1}
modern---{58: 1}
mohamed---{59: 1}
mohammad---{62: 2}
monchusap---{58: 1}
monday---{59: 2}
monitoring---{59: 1}
months---{60: 1, 61: 1, 64: 1}
mood---{59: 1}
more---{58: 3}
mores---{59: 1}
morgan---{59: 1}
most---{58: 2, 60: 1, 61: 1, 64: 1}
motivations---{59: 1}
mousavi---{58: 1, 59: 1}
mouse---{59: 1}
mp---{59: 3}
mph---{58: 1}
mr---{59: 4}
ms---{58: 4, 59: 1}
mt---{59: 2}
multidimensional---{59: 1}
multiple---{59: 2}
must---{60: 1, 61: 1, 64: 1}
mustafa---{58: 1, 62: 1}
my---{58: 28, 59: 3}
mz---{59: 1}
n---{59: 4}
nadir---{59: 1}
name---{58: 1}
named---{59: 1}
nardi---{59: 5}
narrative---{59: 1}
narratives---{59: 1}
nath---{59: 1}
nationwide---{59: 1}
natural---{58: 1, 59: 1, 62: 1}
navigate---{58: 1}
navigating---{59: 1}
navigational---{62: 1}
ne---{59: 1}
needs---{58: 5, 59: 2, 62: 2}
negotiating---{59: 1}
neil---{59: 1}
nelson---{59: 1}
network---{59: 2}
networking---{59: 2}
networks---{59: 1}
neurol---{59: 1}
never---{58: 1}
new---{58: 2, 59: 2}
news---{60: 1, 61: 1, 64: 1}
nexus---{59: 1}
ngo---{59: 2}
nice---{59: 1}
nick---{58: 1}
nicolas---{59: 1}
nj---{59: 5}
no---{60: 2, 61: 2, 64: 2}
nokia---{58: 1}
normal---{58: 1}
norway---{58: 1}
norwegian---{58: 1}
not---{60: 1, 61: 1, 64: 1}
notes---{58: 1}
nov---{59: 5}
novak---{59: 1}
novel---{59: 1}
november---{59: 4}
ntnu---{58: 1}
numerous---{58: 1}
nurse---{59: 2}
nurses---{58: 1}
nutrition---{58: 1}
o---{59: 1}
obesity---{59: 1}
observations---{59: 1}
obtained---{58: 1}
oct---{59: 5}
ocw077---{59: 1}
ocw121---{59: 1}
of---{58: 57, 59: 153, 60: 7, 61: 7, 62: 6, 63: 1, 64: 7}
often---{58: 1, 60: 1, 61: 1, 64: 1}
okullo---{59: 1}
older---{58: 2}
olsen---{59: 2}
on---{58: 6, 59: 82, 60: 7, 61: 7, 63: 1, 64: 7}
oncol---{59: 1}
oncology---{59: 1}
one---{59: 3}
online---{58: 3, 59: 18}
open---{59: 2}
operating---{59: 2}
ophthalmologists---{59: 1}
opioids---{59: 1}
opportunities---{59: 3}
opportunity---{59: 1}
or---{58: 1, 59: 4, 60: 4, 61: 4, 64: 4}
order---{58: 1, 59: 2}
ordinary---{58: 1}
organizational---{58: 1, 59: 1}
other---{58: 1, 62: 1}
others---{59: 1}
our---{60: 2, 61: 2, 64: 2}
out---{58: 1, 59: 1, 60: 3, 61: 3, 64: 3}
outage---{59: 2}
outbreak---{59: 2}
outcomes---{58: 1}
outflow---{59: 1}
outlining---{58: 1}
outstanding---{59: 2}
overview---{60: 1, 61: 1, 64: 1}
own---{58: 1, 60: 2, 61: 2, 64: 2}
ozkaynak---{59: 1}
ozonoff---{59: 1}
p---{59: 5}
padman---{59: 1}
page---{59: 1, 60: 2, 61: 2, 64: 2}
pages---{59: 4}
painter---{59: 1}
pakhomov---{59: 1}
paper---{59: 5}
papers---{60: 1, 61: 1, 64: 1}
parental---{59: 1}
paris---{59: 1}
park---{58: 2, 59: 11}
part---{58: 1}
participate---{60: 1, 61: 1, 64: 1}
participation---{59: 2}
particular---{58: 2}
particularly---{58: 2}
pará---{58: 1}
pasquali---{59: 1}
past---{58: 1}
patel---{59: 2}
patience---{60: 1, 61: 1, 64: 1}
patient---{58: 3, 59: 14, 60: 1, 61: 1, 62: 1, 64: 1}
patients---{58: 6, 59: 2, 62: 2}
patterns---{59: 1}
pavlin---{59: 2}
pd---{59: 1}
pdmp---{59: 1}
peace---{58: 1}
pearl---{58: 1}
pediatric---{59: 2}
pediatrics---{59: 1}
peer---{59: 1, 60: 1, 61: 1, 64: 1}
peers---{59: 1}
peking---{59: 1}
penn---{58: 1}
people---{58: 9, 59: 1, 60: 4, 61: 4, 62: 2, 63: 1, 64: 4}
perception---{59: 1}
perceptions---{59: 3}
percontrep---{59: 1}
pereira---{59: 2}
perform---{59: 1}
performance---{59: 2}
personal---{58: 2, 59: 1, 60: 1, 61: 1, 64: 1}
personalize---{59: 1}
personalized---{59: 1}
perspective---{59: 1}
pervasive---{59: 13}
pervasivehealth---{59: 5}
pf---{59: 1}
pham---{59: 1}
pharmacists---{58: 1}
phd---{58: 8}
phenomenon---{62: 1}
phone---{59: 1}
photography---{59: 1}
physician---{59: 5}
physicians---{58: 3, 59: 1}
pilot---{59: 3}
pine---{59: 6}
pioneering---{58: 1}
place---{59: 1}
platform---{59: 3}
platforms---{59: 1}
play---{59: 5}
playing---{59: 1}
plos---{59: 1}
pm---{59: 2}
pmc5961796---{59: 1}
pmcid---{59: 1}
pmid---{59: 40}
pohl---{59: 2}
polston---{59: 1}
polytechnic---{58: 1}
polytechnique---{58: 1}
poole---{59: 1}
populations---{58: 2}
portal---{59: 1}
portals---{58: 1}
portland---{59: 3}
position---{58: 1}
positive---{59: 2}
positively---{58: 1}
possible---{60: 1, 61: 1, 64: 1}
postdocs---{58: 1}
postdoctoral---{58: 2}
posts---{58: 2}
potential---{59: 2, 60: 1, 61: 1, 64: 1}
pr---{59: 2}
pract---{59: 4}
practical---{59: 2}
practice---{59: 3}
practices---{58: 3, 59: 10}
predict---{59: 1}
preib---{59: 1}
prescriber---{59: 1}
prescription---{59: 1}
present---{58: 2}
previous---{58: 1}
previously---{58: 1}
prikladnicki---{59: 2}
primary---{59: 2}
prior---{58: 6}
prioritization---{59: 1}
privacy---{59: 5}
probably---{60: 1, 61: 1, 64: 1}
problem---{59: 2}
problems---{58: 3}
proc---{59: 7}
proceedings---{59: 64}
processing---{59: 1, 62: 1}
productivity---{58: 1}
professional---{59: 1}
professionals---{59: 1}
professor---{58: 4}
program---{58: 3, 59: 1}
programming---{58: 1, 60: 1, 61: 1, 64: 1}
project---{58: 3, 60: 5, 61: 5, 64: 5}
projects---{58: 2, 59: 1, 60: 2, 61: 2, 62: 2, 63: 1, 64: 2}
promote---{62: 1}
promoting---{59: 1}
prospective---{60: 2, 61: 2, 64: 2}
proulx---{59: 1}
proulxe---{59: 1}
provide---{58: 1}
provider---{59: 1}
providers---{58: 2, 59: 1}
proximity---{59: 1}
psychol---{59: 2}
psychology---{58: 2}
pu---{58: 1, 59: 6}
public---{58: 1, 59: 13, 62: 2}
publication---{60: 2, 61: 2, 64: 2}
publications---{58: 1, 59: 3, 60: 1, 61: 1, 62: 1, 63: 1, 64: 1}
published---{60: 1, 61: 1, 64: 1}
put---{60: 1, 61: 1, 64: 1}
python---{58: 1}
q---{59: 20}
qin---{59: 1}
qq---{59: 1}
qt---{59: 1}
qualitative---{58: 4, 59: 3, 60: 1, 61: 1, 64: 1}
quality---{58: 1, 59: 1}
quantifying---{59: 1}
quantitative---{58: 2}
quarter---{60: 1, 61: 1, 64: 1}
questions---{59: 1}
r---{59: 8}
ra---{59: 1}
rachman---{59: 2}
ramakrishnan---{59: 1}
ramani---{59: 1}
ramo---{59: 1}
randell---{59: 3}
randomized---{59: 2}
randriambelonoro---{59: 2}
ranking---{59: 1}
rare---{60: 1, 61: 1, 64: 1}
rate---{59: 12}
rating---{59: 2}
rationale---{59: 1}
re---{59: 1}
reach---{60: 2, 61: 2, 64: 2}
read---{60: 1, 61: 1, 64: 1}
readability---{59: 2}
readiness---{59: 1}
reading---{59: 3}
ready---{59: 1}
really---{58: 1, 59: 1, 60: 1, 61: 1, 64: 1}
reasons---{59: 1}
received---{58: 7}
recently---{58: 1}
recipients---{59: 1}
recognition---{59: 3}
recommender---{59: 1}
recommenders---{59: 1}
record---{59: 6}
records---{58: 1, 59: 9}
recovery---{59: 4}
reddy---{59: 1}
reduce---{62: 1}
reduced---{59: 1}
reducing---{59: 1}
redwood---{59: 1}
reeder---{59: 1}
reflection---{59: 1}
rehabilitation---{59: 2}
rejected---{60: 1, 61: 1, 64: 1}
relationship---{59: 1}
relationships---{59: 2}
relatively---{60: 1, 61: 1, 64: 1}
relevant---{58: 1}
reliability---{59: 1}
reneccal---{59: 1}
replacement---{59: 1}
report---{59: 1}
reports---{59: 1}
representative---{60: 1, 61: 1, 64: 1}
representatives---{60: 1, 61: 1, 64: 1}
reputation---{59: 2}
requests---{59: 1}
require---{60: 1, 61: 1, 64: 1}
requirements---{58: 1}
requires---{59: 1, 60: 1, 61: 1, 64: 1}
res---{59: 3}
research---{58: 15, 59: 3, 60: 7, 61: 7, 64: 7}
researcher---{58: 2}
researchers---{59: 1}
resisting---{59: 1}
resource---{59: 1}
responses---{62: 1}
restful---{58: 1}
restructuring---{59: 1}
resubmit---{60: 1, 61: 1, 64: 1}
result---{62: 1}
results---{58: 1, 59: 2}
retrieval---{59: 2, 62: 1}
retrieving---{58: 2}
retrospective---{59: 1}
review---{59: 7, 60: 1, 61: 1, 64: 1}
reviews---{59: 1}
revise---{60: 1, 61: 1, 64: 1}
reynolds---{58: 1, 59: 18, 62: 2, 63: 2}
richard---{59: 1}
rick---{59: 3}
right---{60: 1, 61: 1, 64: 1}
risk---{59: 4}
risks---{59: 2}
rl---{59: 3}
roberson---{59: 1}
role---{58: 1, 59: 1}
rome---{59: 1}
room---{59: 2}
rooms---{59: 1}
rosenberg---{59: 2}
rosenbloom---{59: 1}
routine---{59: 1, 60: 1, 61: 1, 64: 1}
rudkin---{59: 2}
rules---{59: 1}
rumshisky---{59: 1}
s---{58: 5, 59: 17}
s189---{59: 1}
saeed---{59: 1}
safety---{59: 3, 60: 1, 61: 1, 64: 1}
salib---{59: 1}
same---{58: 2}
samoff---{59: 1}
san---{59: 5}
satisfaction---{59: 2}
says---{58: 2}
sc---{59: 2}
schedule---{60: 2, 61: 2, 64: 2}
scheduled---{60: 1, 61: 1, 64: 1}
school---{58: 4, 59: 1, 60: 2, 61: 2, 64: 2}
schools---{60: 1, 61: 1, 64: 1}
sci---{59: 2}
science---{58: 7, 59: 1}
sciences---{58: 3, 59: 5}
scientists---{59: 1}
sclerosis---{59: 1}
screening---{59: 1}
scribes---{59: 1}
sd---{59: 1}
se---{59: 1}
search---{59: 4}
searches---{59: 1}
seattle---{59: 5}
sector---{58: 1}
secure---{59: 2}
security---{58: 2, 59: 2}
see---{60: 1, 61: 1, 64: 1}
self---{59: 3}
semaan---{59: 1}
senior---{59: 1}
sense---{59: 4, 62: 2}
sentiment---{59: 1}
seoul---{58: 1}
sep---{59: 2}
september---{58: 1}
sere---{59: 1}
served---{58: 1}
service---{59: 2}
services---{58: 1, 59: 3}
serving---{58: 1}
serwer---{59: 1}
setting---{58: 1}
settings---{59: 4}
shape---{58: 1}
sharing---{59: 1}
shazia---{59: 1}
shedden---{59: 1}
shehada---{59: 1}
shelf---{60: 1, 61: 1, 64: 1}
shen---{59: 2}
shi---{59: 1}
shigematsu---{59: 1}
should---{60: 4, 61: 4, 64: 4}
sigchi---{59: 1}
significant---{60: 2, 61: 2, 64: 2}
similar---{60: 1, 61: 1, 64: 1}
since---{58: 1}
singer---{59: 2}
siniscalchi---{59: 1}
sional---{59: 1}
sites---{59: 4}
sittig---{59: 1}
situ---{58: 1}
situations---{58: 1}
sk---{59: 2}
skills---{58: 1}
skip---{58: 1, 59: 1, 60: 1, 61: 1, 62: 1, 63: 1, 64: 1}
skolarus---{59: 1}
smart---{59: 1}
smartphone---{59: 1}
smith---{59: 1}
sn---{59: 1}
so---{60: 1, 61: 1, 64: 1}
sobh---{59: 1}
social---{58: 8, 59: 21, 62: 2}
society---{59: 1}
sociotechnical---{58: 1, 59: 1}
software---{58: 2, 59: 4}
some---{60: 2, 61: 2, 64: 2}
something---{60: 2, 61: 2, 64: 2}
sometimes---{60: 2, 61: 2, 64: 2}
soper---{59: 1}
sort---{60: 1, 61: 1, 64: 1}
south---{58: 1}
souza---{59: 2}
soyiri---{59: 1}
space---{58: 2, 60: 1, 61: 1, 64: 1}
spain---{59: 1}
special---{58: 1, 59: 1}
specific---{59: 2}
spend---{58: 1, 60: 1, 61: 1, 64: 1}
spent---{60: 1, 61: 1, 64: 1}
spring---{58: 2}
sql---{58: 1}
st---{59: 1}
staff---{58: 1}
stakeholders---{59: 1}
stamps---{58: 1}
standard---{58: 1}
start---{60: 1, 61: 1, 64: 1}
state---{58: 1, 59: 1}
states---{59: 1}
status---{58: 1}
staying---{58: 1}
steps---{59: 1}
stetson---{59: 1}
steve---{59: 1}
steven---{59: 2}
stevenson---{59: 2}
still---{60: 1, 61: 1, 64: 1}
stokols---{59: 1}
storm---{59: 3}
story---{59: 1}
stout---{59: 1}
strangers---{59: 1}
strategies---{59: 3}
strategizing---{59: 1}
street---{59: 6}
streichert---{59: 4}
strengths---{58: 1}
stroke---{59: 4}
structures---{59: 1}
struggles---{59: 1}
stubbs---{59: 1}
student---{58: 6, 59: 4, 60: 1, 61: 1, 64: 1}
students---{58: 1, 59: 2, 60: 1, 61: 1, 64: 1}
studies---{58: 2}
study---{59: 15, 60: 3, 61: 3, 64: 3}
studying---{58: 2}
su---{58: 1}
such---{58: 4, 62: 1}
suda---{59: 5}
suggested---{59: 1}
suicide---{59: 1}
sukumar---{58: 1}
summaries---{59: 2}
summer---{58: 4}
summits---{59: 1}
sun---{58: 1, 59: 2}
sunypark---{58: 1}
supercomput---{59: 1}
supervised---{59: 1, 60: 1, 61: 1, 64: 1}
supervisor---{58: 1}
suppl---{59: 1}
supplement---{58: 1}
support---{58: 3, 59: 6, 62: 2}
supported---{58: 3, 59: 13}
supporting---{59: 3}
surveillance---{59: 5}
survey---{59: 3}
sustainability---{59: 4}
sustainable---{59: 1}
sw---{59: 2}
switching---{59: 1}
switzerland---{58: 1}
sy---{59: 12}
symp---{59: 4}
symposium---{59: 14}
syndromic---{59: 1}
synthesis---{59: 1}
syst---{59: 2}
system---{58: 2, 59: 17, 62: 2}
systematic---{59: 6}
systems---{58: 7, 59: 20}
t---{59: 12}
tackling---{58: 1}
take---{60: 2, 61: 2, 64: 2}
takes---{60: 2, 61: 2, 64: 2}
tang---{59: 9}
tanner---{59: 2}
task---{59: 1}
teaching---{59: 1}
team---{59: 1}
teams---{59: 2}
teamwork---{58: 1}
tech---{60: 1, 61: 1, 64: 1}
technical---{58: 1, 59: 1}
technol---{59: 1}
technological---{59: 1}
technologies---{58: 6, 59: 9, 62: 1}
technology---{58: 10, 59: 10, 60: 1, 61: 1, 62: 1, 64: 1}
telecommunications---{58: 1}
temporary---{59: 1}
tera---{58: 1, 62: 2, 63: 2}
terareynolds---{58: 1}
terms---{59: 1}
text---{59: 4, 62: 1}
texts---{60: 1, 61: 1, 64: 1}
that---{58: 11, 60: 7, 61: 7, 64: 7}
the---{58: 69, 59: 136, 60: 11, 61: 11, 62: 4, 63: 5, 64: 11}
their---{58: 3, 59: 3, 60: 2, 61: 2, 64: 2}
them---{58: 1, 59: 1, 60: 1, 61: 1, 64: 1}
then---{58: 1, 60: 1, 61: 1, 64: 1}
theoretical---{58: 1}
theories---{58: 1}
therapeutic---{59: 1}
there---{60: 1, 61: 1, 64: 1}
these---{58: 1}
they---{58: 3, 59: 1, 60: 1, 61: 1, 64: 1}
thinking---{58: 1, 59: 1}
third---{60: 1, 61: 1, 64: 1}
this---{60: 4, 61: 4, 64: 4}
through---{58: 4, 59: 5}
tiancheng---{58: 1}
time---{58: 1, 60: 5, 61: 5, 64: 5}
timeline---{59: 1}
tions---{59: 1}
titled---{58: 1}
tl---{59: 10}
tlreynol---{58: 1, 63: 1}
tm---{59: 1}
to---{58: 33, 59: 18, 60: 17, 61: 17, 62: 8, 63: 2, 64: 17}
tochi---{59: 1}
today---{58: 1}
together---{59: 1}
too---{58: 1, 62: 1}
tool---{58: 1, 59: 1}
tools---{58: 3, 59: 2, 62: 1}
toronto---{59: 3}
totnes---{59: 1}
touch---{60: 1, 61: 1, 64: 1}
toward---{59: 1}
town---{59: 1}
track---{59: 1}
tracker---{59: 1}
tracking---{59: 1}
tradeoffs---{59: 1}
trail---{59: 1}
training---{60: 2, 61: 2, 64: 2}
tran---{58: 1}
transactions---{59: 1}
transfer---{59: 1}
transformation---{59: 1}
transition---{59: 1}
transl---{59: 1}
translation---{59: 1}
translational---{58: 1, 59: 2}
travis---{59: 1}
trec---{59: 2}
trial---{59: 2}
tructuring---{59: 1}
trust---{59: 1, 62: 1}
trustcom---{59: 1}
ts---{59: 1}
turn---{59: 1}
turning---{59: 1}
tweets---{59: 1, 60: 1, 61: 1, 64: 1}
twitter---{59: 1}
two---{58: 1, 59: 1, 60: 1, 61: 1, 64: 1}
tx---{59: 5}
typescript---{58: 1}
ubicomm---{59: 1}
ubiquitous---{58: 1, 59: 1}
uc---{58: 2, 59: 1, 60: 1, 61: 1, 62: 1, 63: 2, 64: 1}
uci---{58: 2}
uhealth---{59: 1}
uj---{59: 1}
uk---{59: 1}
umich---{58: 1}
uncertainties---{58: 1}
uncertainty---{59: 2}
unclear---{60: 1, 61: 1, 64: 1}
unconstrained---{60: 1, 61: 1, 64: 1}
under---{58: 2}
undergraduate---{58: 6, 60: 5, 61: 5, 64: 5}
undergraduates---{60: 1, 61: 1, 64: 1}
underserved---{58: 2}
understand---{58: 1, 60: 1, 61: 1, 62: 3, 64: 1}
understanding---{58: 5, 59: 9}
understandings---{58: 1}
underweight---{59: 1}
unintended---{58: 1, 59: 1}
united---{59: 1}
university---{58: 30, 59: 4, 60: 1, 61: 1, 64: 1}
unpacking---{59: 1}
unstructured---{58: 1, 62: 1}
unusual---{59: 1}
urbana---{58: 1}
urol---{59: 1}
urologists---{59: 1}
us---{60: 1, 61: 1, 64: 1}
usability---{58: 1}
usage---{59: 1}
use---{58: 5, 59: 12, 60: 1, 61: 1, 62: 1, 64: 1}
used---{58: 2}
useful---{58: 1}
user---{58: 2, 59: 4}
users---{58: 4, 59: 4, 62: 2}
uses---{58: 1}
using---{58: 6, 59: 10, 62: 1}
usually---{60: 1, 61: 1, 64: 1}
utah---{58: 1}
utilize---{59: 1}
utilizes---{58: 1}
utilizing---{58: 1}
uzuner---{59: 1}
v---{59: 4}
value---{60: 1, 61: 1, 62: 1, 64: 1}
van---{59: 1}
vancouver---{59: 2}
variety---{58: 1}
vawdrey---{59: 1}
vd---{59: 1}
ven---{59: 1}
vgv---{59: 2}
via---{59: 1}
vial---{59: 1}
vice---{58: 1}
vichich---{59: 1}
victor---{59: 2}
victoria---{59: 1}
victory---{59: 1}
vidauri---{59: 1}
vilas---{59: 1}
vim---{58: 1}
visit---{59: 3, 60: 1, 61: 1, 64: 1}
visited---{58: 2}
visual---{59: 1}
vlogs---{59: 2}
vocabulary---{59: 1}
volunteer---{58: 2}
volunteers---{60: 1, 61: 1, 64: 1}
vv---{59: 2}
vydiswaran---{59: 5}
w---{59: 3}
wa---{59: 5}
waikoloa---{59: 3}
wang---{59: 6}
want---{58: 1, 60: 2, 61: 2, 64: 2}
warden---{59: 1}
was---{58: 4}
washington---{59: 2}
way---{58: 1, 60: 1, 61: 1, 64: 1}
ways---{58: 3, 60: 1, 61: 1, 64: 1}
we---{58: 7, 59: 1, 60: 6, 61: 6, 64: 6}
web---{58: 1, 59: 1}
weblogs---{59: 1}
website---{58: 1, 59: 1, 60: 1, 61: 1, 62: 1, 63: 1, 64: 1}
weekly---{60: 1, 61: 1, 64: 1}
wei---{59: 2}
weibel---{59: 4}
weight---{59: 1}
weizer---{59: 1}
welcome---{60: 1, 61: 1, 64: 1}
welfare---{58: 1}
well---{58: 3, 59: 1, 60: 2, 61: 2, 64: 2}
wellbeing---{60: 1, 61: 1, 64: 1}
wellner---{59: 1}
wellness---{58: 2}
wen---{59: 2}
wenqiang---{59: 1}
werun---{59: 1}
what---{59: 2, 60: 1, 61: 1, 64: 1}
wheeler---{59: 2}
when---{58: 2, 59: 6, 60: 2, 61: 2, 64: 2}
where---{59: 1}
which---{62: 1}
white---{59: 1}
who---{60: 1, 61: 1, 64: 1}
why---{58: 1, 59: 2}
wide---{58: 1}
will---{58: 1, 60: 2, 61: 2, 64: 2}
wimob---{59: 1}
wireless---{59: 1}
wisniewski---{59: 1}
with---{58: 13, 59: 18, 60: 4, 61: 4, 62: 1, 64: 4}
within---{60: 1, 61: 1, 64: 1}
women---{58: 2, 59: 4}
wong---{59: 1}
woolliscroft---{59: 1}
word---{59: 3}
work---{58: 8, 59: 19, 60: 3, 61: 3, 64: 3}
worked---{58: 3}
workflow---{59: 4}
working---{58: 3, 59: 1, 60: 2, 61: 2, 64: 2}
world---{58: 1, 59: 6}
worthwhile---{60: 1, 61: 1, 64: 1}
wq---{59: 1}
writing---{58: 1}
wsdm---{59: 1}
wu---{59: 8}
x---{59: 15}
xianghua---{59: 1}
xiankang---{59: 1}
xiao---{59: 1}
xiaojuan---{59: 1}
xiaoyong---{58: 1}
xie---{59: 1}
xinning---{58: 1, 59: 7, 62: 2}
xu---{59: 8}
xv---{59: 1}
y---{59: 82}
yan---{59: 4}
yanqi---{59: 1}
yao---{59: 1}
ychen25---{58: 1}
year---{60: 3, 61: 3, 64: 3}
yearb---{59: 1}
years---{58: 3, 60: 1, 61: 1, 64: 1}
ym---{59: 3}
you---{59: 2, 60: 18, 61: 18, 64: 18}
young---{58: 1, 59: 3}
your---{59: 2, 60: 5, 61: 5, 64: 5}
yourself---{60: 1, 61: 1, 64: 1}
yu---{58: 1, 59: 2, 62: 1}
yubo---{59: 2}
yue---{59: 1}
yunan---{58: 6, 59: 17, 60: 1, 61: 1, 64: 1}
yunanc---{58: 1}
z---{59: 3}
zeng---{59: 1}
zhang---{59: 6}
zhao---{59: 2}
zhaoxian---{58: 1}
zhaoyuan---{58: 1}
zheng---{58: 6, 59: 71, 60: 1, 61: 1, 64: 1}
zhou---{59: 1}
zia---{59: 1}
zika---{59: 1}
zuest---{59: 3}
ö---{59: 1}
